🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC,ID Explanation (for the ones that aren't immediately evident from the song or artist name)
✓,Fireflies,Owl City,4.8,2009,Electropop; Synthpop; Indietronica,Electropop; Synthpop; Indietronica; Electronic; Pop,starry night; nostalgic; bittersweet; passionate; ethereal; melancholic; yearning; aerial; bright; anthemic; lonely; epic; poetic; twee; fantasy; sad; space; quirky; existential; surreal; introspective; uplifting; party,"A truly magical pop song with a MASSIVE chorus and a lyric that evokes all the pretty lights of the universe, from the fireflies of the Earth to the stars of the night sky. For the first half, it's like the room I'm in has become an observatory. For the second, it's like I'm in a rocket launching into outer space","The final loud chorus (the one before the outro), which feels like the rocket really entering the stratosphere. ""EVERYTHING IS NEVER AS IT SEEEEEMS""",English,,,,,$-GPM [ Multiple Copies ],,2020-12-31,Owl City - Fireflies,1009,00011,2020-12-31 00011,1,1,1,#073763,#ffff00,"Lyric: ""'Cause I'd get a thousand hugs from ten thousand lightning bugs"""
✓,Run Away With Me,Carly Rae Jepsen,4.9,2015,Electropop; Synthpop,Electropop; Synthpop; Electronic; Pop,uplifting; happy; anthemic; celebration; epic; love; urban night; adventure; passionate; bright; glamorous; optimistic; triumphant; lush; party; catchy; fun; sunny day; twee; resolute; ethereal; yearning; energetic; fight song; Summer,"All of the best promises of pop music turned to a maximum: A MASSIVE chorus and an exuberant, euphoric production style, amplifying a sentimental lyric that's so uplifting it feels like the hand of God taking yours. I appreciate that the title of the song is an invitation rather than a coercion, but at the same time, how the fuck could you ever refuse? / Now here's a bunch of random words I thought of after the explosion in the final chorus sent my brain into overdrive: Summer night city festival euphoric neon light fireworks sugar rush photo booth self-actualization coming of age best night ever powerful best friends warm hug world-stopping heart-stopping Springsteen karaoke bliss","The final loud chorus (the one before the outro), which feels like the wide-eyed climax of the 2010s right in the middle of the decade. ""OH MY BABYYYYYY""",English,,,Seen live,,$-GPM,,2020-12-31,Carly Rae Jepsen - Run Away With Me,,00012,2020-12-31 00012,,,,#000000,#ff00ff,
✓,Long Season (Live 1998),Fishmans,4.8,1999,Progressive Pop; Dream Pop; Neo-Psychedelia,Progressive Pop; Dream P0p; Neo-Psychedelia; Alternative Rock,epic; progressive; nature; lush; uplifting; happy; celebration; adventure; bright; ethereal; repetitive; Spring; Summer; aquatic; tropical; forest; sunny day; twee; passionate; bittersweet; surreal; complex; rainy; fun,"Once, I took a solo hike on a sunny day and for the last forty or so minutes of it, I listened to the entirety of this. Long story short, it was already my favorite hike I'd ever been on before I put the music on, but the soundtrack choice elevated it to perfection. Walking through the trees during the first part, chilling by a gorgeous waterfall during the guitar solos, climbing up a looong hill in the final act of the song... really can't put it all into words, but it was a transcendent experience that reminded me why I loved music so much. A breathtaking album-length song that's truly perfect for any nature-related adventure or dream",The extended guitar solo around 10 to 13 minutes in (I'm now always reminded of that waterfall) + The final act,Japanese,,,,[live],$-GPM,,2020-12-31,Fishmans - Long Season (Live 1998),1998,00013,2020-12-31 00013,1,1,1,#0c343d,#d9ead3,-
✓,Dragon New Warm Mountain I Believe in You,Big Thief,4.9,2022,Psychedelic Folk; Indie Folk; Singer-Songwriter,Psychedelic Folk; Indie Folk; Singer-Songwriter; Contemporary Folk,ethereal; soft; relaxation; peaceful; soothing; happy; poetic; mountains; fantasy; uplifting; love; nature; pastoral; forest; calm; starry night; lush; celebration; Spring; Summer; Winter; Autumn; morning; epic; aerial; surreal; adventure; nostalgic; optimistic; twee; passionate; resolute; bright,"Like a beautiful watercolor or soft pastel painting brought to life, though that description really isn't doing it justice. This is the kind of song I play to remind myself of how gorgeous life and all its visual elements can be. Old images of my favorite artworks, as well as new images of the most beautiful parts of nature, of the universe, of all the precious moments in life are all instantly sketched by the precocious child in my mind when I hear this song. It usually takes a whole album for music to create a world unto itself, but this one song is a whole universe unto itself. And it's just one song on a stunningly consistent twenty-song album... and it's NOT EVEN the album's best song! What did we do to deserve Big Thief?","""Just like thaaaat, the moon goes flat. Big lights in the city shine, crying out, take me to the limits of your love.""",English,,,"Seen live x2 - Once by Big Thief, once by Adrianne solo",,$-CD Rip,,2022-02-10,Big Thief - Dragon New Warm Mountain I Believe in You,,00014,2022-02-10 00014,,,,#efefef,#000000,
✓,September Fifteenth,Pat Metheny; Lyle Mays,5.0,1981,ECM Style Jazz,ECM Style Jazz,Metheny Sound; ECM Style; peaceful; melancholic; bittersweet; soft; relaxation; calm; soothing; morning; cloudy day; sunny day; progressive; pastoral; Spring; nostalgic; uplifting; sad; ethereal; sunset; introspective; ballad; low energy; yearning; rainy; Winter; icy; sulking; passionate; grief,"If there's one thing I admire Metheny and Mays for, it's their ability to make it feel like we've achieved world peace, yet there's still a deep, insatiable ache inside. This moving tribute to Bill Evans (named after the day he died in 1980) exemplifies that side of them the most, an auditory balm laced with a unique strain of serenity and melancholy that defines the ECM sound in my mind; I swear this label has a secret formula or something. One of the prettiest guitar performances ever alongside my favorite piano performance, soul-stirring and ineffably beautiful in a way that's reminiscent of plaintive classical pieces like Clair de lune or Gymnopédie No. 1 (but even better). Bill Evans would be proud","Literally any moment Lyle Mays plays his piano, but especially around the 4:20 mark all the way to the very end. + And when he starts rising at around 6:08... God, it felt like Evans' soul was beside him there",Instrumental,September Fifteenth (Dedicated to Bill Evans),,Seen live - Maybe,[collab],$-download,Mx: Songs for a Wichita Lineman,2020-12-31,Pat Metheny; Lyle Mays - September Fifteenth,915,00015,2020-12-31 00015,1,1,,#f3f3f3,#cc0000,9/15 is Sep. 15th in M/DD format
✓,Transdermal Celebration,Ween,4.5,2003,Psychedelic Rock; Alternative Rock,Psychedelic Rock; Alternative Rock,apocalypse; death; celebration; epic; bittersweet; noisy; heavy; dense; passionate; surreal; triumphant; progressive; hot; aerial; bright,"The most festive and triumphant apocalypse of all time. As we sail into oblivion, there will be fireworks above the beach","The godlike guitar solo, which was supposedly played on Santana's briefly stolen guitar at the risk of job losses for everyone involved in the heist (a story that just enhances how cool and epic it is). My favorite guitar solo of all time, as of now + ""Jets flew in formation, I could see them"" as actual jets fly in like it's an independence day celebration + ""Lay on the lawn, he's already home when the morning ray hits his face."" Just the image of a man giving up and letting the nuclear bombs consume him is chilling",English,,,,,$-download,,2020-12-31,Ween - Transdermal Celebration,,00016,2020-12-31 00016,1,1,1,#eb8d00,#ffffff,
✓,California Dreamin',Mamas & The Papas,4.5,1965,Sunshine Pop,Sunshine Pop,lush; passionate; anthemic; catchy; yearning; bittersweet; melancholic; Winter; Autumn; cloudy day; epic; adventure,"Harmonies so warm they could substitute a fireplace in the cruel midwinter, and it's impressive how this is such a massive pop epic at only two and a half minutes. I also can't separate it from how well-used it was in [Film660,Chungking Express]. It's a pop song I really wouldn't mind having to hear an excessive amount of times in a row / P.S. In the same way that Paul McCartney was envious that he didn't write ""God Only Knows,"" Brian Wilson and Tony Asher should've been envious that they didn't write ""California Dreamin'""","""STOPPED INTO A CHURCH"" (and the entire verse following it, but especially that opening line) + The flute solo goes hard + ""All the leaves are brown"" because I just think of how much I had to hear those opening lines in Chungking Express",English,,,,,$-iTunes,Mx: Songs for a Wichita Lineman,2020-12-31,Mamas & The Papas - California Dreamin',663,00017,2020-12-31 00017,,,,#ffd966,#000000,"In the second story of the Wong Kar-wai movie 'Chungking Express', a young woman named Faye falls in love with an unnamed police officer referred to as Cop 663. The song ""California Dreamin'"" is played numerous times throughout the second story, as Faye dreams of moving to California."
✓,Just Like Heaven,Cure,4.7,1987,New Wave; Jangle Pop; Dream Pop; Post-Punk,New Wave; Jangle Pop; Dream P0p; Post-Punk; Rock; Pop Rock; Alternative Rock,love; ethereal; bright; bittersweet; celebration; lush; yearning; happy; uplifting; starry night; passionate; sunny day; optimistic; twee; anthemic; poetic; energetic; Christmas; icy; grief,"The ultimate love song. Not necessarily the best love song (though it is damn close), but the one that covers the most ground, touching on everything from the chemical rush of the initial crush to the rosy honeymoon phases to the shipwrecked aftermath of losing someone dear, all on top of the dreamiest, most unabashedly elated instrumental in pop music. Finding salvation in heaven, only to be forsaken by an angel","""Dancing in the deepest oceans, twisting in the water, you're JUST LIKE A DREAM"" [cue heavenly piano] + ""And found myself alone, alone, alone above a raging sea. That stole the only girl I loved, and drowned her deep inside of me.""",English,,,Seen live,[Gtest],$-iTunes,Mx: Obscurity Knocks,2020-12-31,Cure - Just Like Heaven,7777,00018,2020-12-31 00018,1,1,,#cc0000,#f4cccc,👼😇.....😥
✓,Int'l Players Anthem (I Choose You),UGK; ft. OutKast,4.7,2007,Dirty South; Southern Hip Hop,Dirty South; Southern Hip Hop; Scenes & Movements,happy; fun; celebration; friendship; love; triumphant; party; anthemic; sexual; uplifting; optimistic; urban; sunny day; introspective; slice of life; bright,"Three legendary Southern Hip Hop duos (Andre 3000 & Big Boi of OutKast, Pimp C & Bun B of UGK, and DJ Paul & Juicy J of Three 6 Mafia) unite in the greatest, grandest swan song celebration of all time. No other ""legends"" collab across Hip Hop or any other genre could possibly ever hope to match this song's ""hype to actual quality"" ratio. THE best Hip Hop song, and it's not from the U.S. East or U.S. West Coast, but the U.S. South. Respect","The entirety of Andre 3000's verse, but a special shout out to ""liter-ATURE on the subject"" and ""I'm no island, peninsula maybe"" + The entirety of Bun B's verse, which I'd argue is the most fun of the four + It is impossible to over-praise this sample choice/beat/production, DJ Paul & Juicy J were insane for this",English,,,"Seen live - Performed by Big Boi & Sleepy Brown: Andre 3000's verse showed up in voiceover only, they skipped over Pimp C & Bun B completely to just do Big Boi's verse",,$-iTunes,,2020-12-31,UGK; ft. OutKast - Int'l Players Anthem (I Choose You),,00019,2020-12-31 00019,1,1,1,#660000,#ffe599,
✓,Jumpers,Sleater-Kinney,4.8,2005,Indie Rock,Indie Rock; Alternative Rock,energetic 100; raw; suicide; passionate; uplifting; bittersweet; lonely; noisy; dense; anxious; heavy; anthemic; death; sad; epic; angry; pessimistic; aggressive; conscious; urban; dark; narrative,"As it turns out, the best, most high-energy indie rock song (not counting indie folk stuff) also happens to be the best, most understanding, most truly empowering song about suicide. The wonderful [~M4rcus] review says it all","""SING IT OUT LOUD SO THE PEOPLE CAN HEAR, [b][i]LET'S GO!!![/i][/b]"" [cue the most energetic and powerful indie rock guitar solo ever]",English,,,,,$-download,,2020-12-31,Sleater-Kinney - Jumpers,,00020,2020-12-31 00020,1,1,1,#660000,#b6d7a8,
✓,The Rat,Walkmen,4.6,2004,Post-Punk Revival,Post-Punk Revival; Indie Rock; Alternative Rock,angry; raw; passionate; energetic; aggressive; noisy; heavy; fight song; manic; breakup; alienation; lonely; misanthropic; anthemic; anxious; dense; light black,An actual firestarter of a song. It is damn near impossible not to thrash around while listening to it,"""Can't you hear me I'm BEATING ON THE WALL!"" + The guitar riffs",English,,,Seen live,,$-iTunes,,2020-12-31,Walkmen - The Rat,,00021,2020-12-31 00021,1,1,1,#783f04,#ff9900,
✓,Empire Ants,Gorillaz,4.5,2010,Art Pop; Electropop; Synthpop,Art Pop; Electropop; Synthpop; Electronic,soothing; ethereal; sunset; lush; soft; relaxation; nostalgic; melancholic; bittersweet; introspective; Summer; peaceful; calm; aquatic; nature; starry night; poetic; existential; tropical; mechanical,"Damon Albarn's finest, most beautiful moment. Part 1: A soothing balm imbued with the collective beauty of the entire world. Part 2: A massive, colorful zoetrope encompassing the empires of humanity. A kaleidoscope dream (lol like the Miguel album) of Earth's history",The transition into the fast part + The opening chords are always enough to instantly soothe,English,,,Seen live; Mixed NRG,,$-GPM,,2020-12-31,Gorillaz - Empire Ants,,00022,2020-12-31 00022,,,,#ff9900,#000000,
✓,Smooth Operator,Sade,4.5,1984,Sophisti-Pop; Smooth Jazz,Sophisti-Pop; Smooth Jazz,luxurious; glamorous; urban night; lush; soft; sensual; relaxation; fun; celebration; soothing; Summer; smooth,"It's only the second best Sade song, but it's emblematic of the band's perfectly charming, suave, and luxurious sound. It's also the best example of the entire band all showing off their talents, with Sade's goddess-tier vocals underscored by a soft keyboard line from Andrew, a tasteful bassline from Paul (that bass break is a big highlight), and an absolutely fiery saxophone from Stuart (that solo is also a big highlight)","""His eyes are like angels; his heart is (pause) COLD!"" + The sax solo + The bass break + The lyric ""Coast-to-coast, L.A. to Chicago"" because lmao",English,,,,,$-iTunes [ Multiple Copies ],,2020-12-31,Sade - Smooth Operator,,00023,2020-12-31 00023,1,1,,#134f5c,#efefef,
✓,Leave Them All Behind,Ride,4.7,1992,Shoegaze; Noise Pop,Shoegaze; N0ise P0p; Alternative Rock; Indie Rock,celebration; optimistic; happy; sunny day; uplifting; epic; adventure; triumphant; resolute; noisy; dense; heavy; Summer; aquatic; bright,"The sound of ultimate triumph, of riding into a colorful flower field and letting nothing get you down anymore, 'cause you're in paradise. As much as I love My Bloody Valentine and Slowdive's overall discographies much more than Ride's, the Ride of 1990-92 truly were justified in this boastful victory lap. Shoegaze's finest, most euphoric moment","When the noise kicks in at around 0:42, signaling the beginning of the ride to paradise",English,,,,,$-iTunes,,2020-12-31,Ride - Leave Them All Behind,,00024,2020-12-31 00024,1,1,1,#ff9900,#ffffff,
✓,Let Down,Radiohead,4.8,1997,Alternative Rock; Art Rock,Alternative Rock; Art Rock,sulking; pessimistic; sad; melancholic; somber; existential; catchy; passionate; bittersweet; alienation; lonely; rainy; sunset; ethereal; lush; urban; introspective,"Instrumental is like an auditory version of those fuzzy, distant city lights in the evening and late night, and the ending is all of those lights flickering out. Paired together with the lyric, this is the SOUND of melancholy to my ears. Wistful and sulking, but still holding onto some fragments of beauty which very much blossom in this song. The ""oooone daaaay"" part is a ray of sun breaking through the clouds","""You know, you know where you are with. You know where you are with. Floor collapsing, floating, bouncing back and ooooone daaaaaaaay"" + The electronic outro is a tad bit overlooked sometimes. As mentioned above, it feels like a bunch of flashing city lights going out and fading away",English,,,,,$-GPM,,2020-12-31,Radiohead - Let Down,,00025,2020-12-31 00025,1,1,1,#cfe2f3,#000000,
✓,"Tonight, Tonight",Smashing Pumpkins,4.7,1995,Symphonic Rock; Alternative Rock,Symphonic Rock; Alternative Rock,epic; adventure; urban night; resolute; anthemic; optimistic; uplifting; celebration; bittersweet; nostalgic; passionate; introspective; starry night; ethereal; triumphant; poetic; space; aerial,"So obviously the pinnacle of the ""song that could be in a coming of age movie"" faux-genre that it's a miracle that it hasn't been overused to death in film. This song just has this wonderful balance of maturity and immaturity, this universe-level grandeur (in spite of the scope of theoretical settings just being a city *at the largest*), and a perfect encapsulation of youth and teenage angst that all coming of age media should aspire to. / P.S. And shout out to the fantastic music video, which stars Tom Kenny and Jill Talley (Tom's wife)","""We'll crucify the insincere tonight."" One of my favorite lyrics ever, and possibly the best single sentence in a song that's less than seven words",English,,,,,$-iTunes,,2020-12-31,"Smashing Pumpkins - Tonight, Tonight",,00026,2020-12-31 00026,1,1,1,#0b5394,#ffd966,
✓,Midnight City,M83,4.7,2011,Synthpop; Synthwave,Synthpop; Synthwave; Electronic; Pop,urban night; ethereal; glamorous; lush; uplifting; epic; anthemic; adventure; happy; futuristic; nostalgic; bright,"An arena ""rock"" (but not really) anthem that defines the 2010-2015 period in my mind. Long live the big city","The sax solo, OBVIOUSLY",English,,,Seen live,,$-GPM,,2020-12-31,M83 - Midnight City,83,00027,2020-12-31 00027,,,,#741b47,#ead1dc,-
✓,Body and Soul,Coleman Hawkins,4.7,1939,Sw–ng,Sw–ng; Jazz,soft; ballad; late night; relaxation; calm; love; night; peaceful; soothing; happy; luxurious; nostalgic; progressive; low energy,"An extremely important jazz recording for how it basically ushered in the era of bebop with its improvised solo, but it's insane how said solo just happens to be the best, most moving solo in the entire genre, right from the get-go. Truly feels like a timeless classic, being one of the purest expressions of sentimentality and warmth I've ever heard from any instrument; how fitting that it's a rendition of ""Body and Soul."" I don't know where the tenor sax played in this recording is right now, but if it's not in the sacred chamber it belongs in here on Earth, it's most likely in Heaven","The stretch from roughly 1:30 to 2:15, as the solo really gets energetic",Instrumental,,,,,$-iTunes,,2020-12-31,Coleman Hawkins - Body and Soul,,00028,2020-12-31 00028,,,,#073763,#fff2cc,
